begin,AFKS,AFLT,ALRS,ASTR,BSPB,CBOM,CHMF,ENPG,FEES,FLOT,GAZP,GMKN,HEAD,HYDR,IRAO,LKOH,MAGN,MDMG,MOEX,MSNG,MTLR,MTSS,NLMK,NVTK,PHOR,PIKK,PLZL,POSI,RENI,ROSN,RTKM,RUAL,SBER,SBERP,SELG,SNGS,SNGSP,SVCB,T,TATN,TATNP,TRNFP,UGLD,UPRO,VKCO,VTBR,YDEX
2025-01-06,15.036,60.99,57.0,481.0,370.25,10.033,1292.2,364.95,0.07816,90.89,126.6,116.26,3669.0,0.5247,3.759,7022.5,38.885,940.0,197.39,2.3665,104.65,212.6,149.34,969.0,6580.0,493.8,1488.6,2013.0,113.1,562.95,65.26,35.705,278.77,278.54,41.57,23.4,57.2,14.515,2900.0,653.5,644.2,1172.0,0.772,1.855,310.4,79.28,3934.0
2025-01-13,15.278,61.8,58.26,507.85,364.92,9.261,1326.8,382.5,0.08012,87.04,138.76,124.88,3842.0,0.5513,3.77,7342.0,38.045,937.8,207.4,2.4525,112.6,221.75,153.62,1006.0,6751.0,645.6,1516.35,2104.2,114.54,554.9,67.8,37.015,283.53,283.02,43.31,25.185,57.645,15.3,3052.8,673.6,659.2,1197.0,0.8132,2.043,350.8,87.0,4113.0
2025-01-20,14.717,61.86,54.83,514.3,381.13,9.548,1243.4,376.95,0.0788,89.27,138.43,124.14,3760.0,0.5405,3.746,7199.5,36.16,975.5,211.25,2.495,116.19,225.35,147.16,1029.8,7100.0,726.4,1708.0,1874.6,121.96,535.85,65.97,36.76,280.74,280.63,44.48,28.505,58.44,15.03,3009.6,682.6,666.3,1166.0,0.869,2.023,350.2,87.54,4037.0
2025-01-27,14.475,63.86,56.86,525.3,373.4,8.906,1211.8,369.5,0.07898,87.47,140.84,121.18,3664.0,0.5697,3.699,7171.0,35.09,1021.0,205.01,2.4105,112.59,228.0,146.0,1082.0,7038.0,694.1,1717.0,1866.0,118.94,526.8,65.64,35.28,280.73,280.4,42.59,27.725,58.425,14.97,3041.8,683.9,667.0,1156.0,0.8567,2.048,335.0,83.89,4092.0
2025-02-03,14.05,64.25,56.76,514.35,375.7,9.03,1207.6,378.7,0.07888,87.45,141.9,122.28,3465.0,0.5638,3.7,7148.0,33.78,995.5,203.99,2.4135,106.93,225.0,140.92,1101.8,7163.0,685.2,1783.0,1566.0,113.4,530.25,64.84,34.75,285.81,285.47,51.88,27.95,57.905,15.14,3105.0,697.0,674.4,1120.8,0.8174,2.173,303.0,81.19,4200.0
2025-02-10,16.12,68.94,61.23,472.0,390.3,9.997,1307.6,419.8,0.08182,100.75,168.1,131.5,3515.0,0.5462,3.8205,7492.5,36.45,1031.0,229.95,2.5485,114.31,251.45,148.58,1218.8,6842.0,742.6,1870.95,1577.2,122.26,561.95,72.38,36.445,309.87,307.02,53.26,28.14,57.225,16.245,3364.4,716.9,693.9,1209.0,0.763,2.54,319.0,87.79,4549.0
2025-02-17,17.451,76.22,62.62,450.0,390.8,9.636,1385.8,445.8,0.08546,103.97,171.09,137.18,3800.0,0.5584,3.8855,7709.5,39.41,1038.0,234.09,2.7425,113.75,253.8,160.4,1326.4,6929.0,707.0,1884.9,1556.4,126.88,572.55,80.3,38.98,314.74,313.34,55.6,28.91,58.695,16.895,3425.0,754.4,722.6,1225.6,0.7685,2.706,329.6,92.36,4667.0
2025-02-24,17.321,72.93,61.12,443.2,391.89,10.334,1347.0,474.8,0.08166,101.01,170.96,139.04,3800.0,0.5419,3.79,7531.0,39.18,1019.0,221.24,2.652,113.77,247.05,158.0,1266.6,6832.0,658.0,1939.5,1601.8,136.5,557.45,71.12,39.695,307.44,306.45,51.12,27.7,57.26,16.28,3277.0,735.5,700.4,1179.8,0.7343,2.477,333.5,90.49,4376.0
2025-03-03,17.98,75.1,60.32,442.8,397.69,9.732,1357.2,492.0,0.0806,91.48,171.56,135.7,3516.0,0.5327,3.733,7225.0,40.065,1062.0,212.21,2.5465,116.3,242.0,159.4,1287.0,6700.0,661.2,1939.95,1605.0,132.92,528.8,71.04,42.175,316.92,312.57,52.03,26.96,54.965,17.7,3414.8,693.0,658.3,1141.0,0.7365,2.102,330.3,91.07,4553.0
2025-03-10,19.11,75.95,60.92,439.6,401.25,10.391,1313.2,528.1,0.08106,96.66,172.81,131.96,3484.0,0.5299,3.788,7209.5,39.845,1037.0,215.69,2.6125,117.69,249.5,158.8,1296.0,6604.0,629.3,1940.75,1588.8,135.46,535.5,70.98,42.805,323.44,319.82,54.15,26.36,54.565,18.24,3492.0,724.8,677.0,1184.0,0.7614,2.022,331.2,92.29,4584.5
