begin,AFKS,AFLT,ALRS,BSPB,CBOM,CHMF,ENPG,FLOT,GAZP,HYDR,IRAO,LKOH,MAGN,MOEX,MSNG,MTLR,MTSS,NLMK,NVTK,PHOR,PIKK,PLZL,POSI,RENI,ROSN,RTKM,RUAL,SBER,SBERP,SELG,SNGS,SNGSP,TATN,TATNP,TRNFP,UPRO,VTBR
2022-01-03,24.517,60.7,123.27,84.18,7.041,1619.8,918.0,76.2,353.73,0.7493,4.385,6683.0,70.835,156.46,2.1405,127.5,304.65,218.68,1774.4,5936.0,1155.7,1296.45,849.4,98.81,610.95,86.22,73.755,305.47,289.74,57.98,39.6,38.87,515.4,472.1,1599.0,2.624,247.25
2022-01-04,24.708,63.3,123.82,87.1,7.102,1603.4,915.5,76.18,352.55,0.7577,4.4135,6728.0,71.4,155.95,2.095,127.2,304.95,218.4,1788.6,5910.0,1171.0,1299.6,844.0,98.0,613.5,86.05,74.15,304.24,289.01,58.19,40.175,39.715,515.4,473.8,1601.0,2.645,248.5
2022-01-05,23.593,60.98,117.71,86.11,7.036,1575.2,896.0,76.4,335.0,0.7341,4.234,6522.0,69.175,148.24,2.134,124.73,298.3,213.62,1707.8,5697.0,1150.0,1255.15,838.0,96.95,590.3,83.71,73.65,287.01,274.8,57.74,38.75,39.075,492.6,453.0,1565.0,2.631,236.79999999999998
2022-01-06,24.2,62.96,119.33,85.05,6.99,1584.0,930.0,76.92,346.13,0.7477,4.2475,6699.0,71.17,149.02,2.1355,122.4,299.2,213.82,1749.0,5735.0,1142.3,1231.5,830.0,94.03,601.6,84.24,74.54,293.92,279.05,56.44,39.125,38.9,496.4,459.0,1600.0,2.617,242.22500000000002
2022-01-10,23.861,63.02,117.48,83.65,6.98,1554.6,946.5,75.59,344.0,0.7437,4.294,6775.0,70.4,145.3,2.1575,126.39,295.85,212.32,1758.6,5761.0,1210.1,1225.15,784.0,93.01,602.0,83.64,76.3,291.69,277.8,55.02,39.29,38.955,499.8,460.0,1571.0,2.612,244.75
2022-01-11,24.13,63.2,121.71,84.82,7.126,1572.4,958.5,76.26,343.74,0.7521,4.3895,6816.0,69.96,150.03,2.2345,126.95,296.2,217.28,1779.8,5811.0,1254.0,1238.1,779.6,94.0,613.6,83.83,76.9,291.88,278.15,57.09,40.315,39.0,508.2,466.4,1560.5,2.614,251.29999999999998
2022-01-12,24.16,62.44,120.11,87.9,7.265,1591.2,965.5,77.0,347.43,0.7516,4.3795,6960.0,67.89,151.38,2.228,130.41,296.45,220.58,1807.4,5824.0,1263.0,1238.6,800.0,93.0,627.7,85.12,78.25,290.4,276.0,57.0,40.83,38.91,511.2,469.1,1572.0,2.597,250.55
2022-01-13,22.982,60.16,118.48,83.12,7.129,1570.4,942.0,75.6,337.6,0.7314,4.294,6665.0,67.38,147.65,2.22,125.0,291.65,219.02,1744.2,5797.0,1229.9,1223.3,775.4,91.2,603.3,81.9,75.8,272.5,263.95,55.56,38.435,38.47,496.3,453.9,1538.0,2.591,235.37500000000003
2022-01-14,22.542,59.86,118.61,80.68,7.01,1551.8,922.0,73.08,335.76,0.7326,4.296,6659.0,66.0,144.27,2.1455,121.27,289.65,214.0,1726.0,5771.0,1223.8,1192.9,788.8,89.22,605.5,78.72,74.0,261.0,252.64,55.63,38.39,38.59,498.1,452.7,1559.5,2.544,232.05
2022-01-17,22.159,58.98,117.15,79.86,6.951,1514.8,915.5,72.72,327.81,0.7293,4.2065,6516.0,64.5,139.32,2.165,115.44,281.7,211.5,1641.8,5825.0,1217.0,1160.7,781.8,82.75,592.55,78.53,73.735,257.78,250.65,54.24,38.01,38.34,495.7,451.9,1534.5,2.574,232.50000000000003
2022-01-18,21.47,55.46,108.33,77.28,6.557,1460.4,868.0,70.07,301.11,0.7005,4.007,6250.0,60.49,132.0,2.115,110.09,272.95,205.7,1579.6,5679.0,1174.7,1143.9,743.0,76.0,544.8,76.05,70.045,234.7,228.61,51.52,36.58,37.295,474.0,433.8,1545.0,2.505,218.175
